country,food_category,consumption,co2_emmission,food_division
Germany,Fish,11.16,17.82,Animal
Germany,Eggs,12.2,11.21,Animal
Germany,Milk - inc. cheese,258.7,368.49,Non-Animal
Germany,Wheat and Wheat Products,83.41,15.91,Non-Animal
Germany,Rice,3.34,4.27,Non-Animal
Germany,Soybeans,0.88,0.4,Non-Animal
Germany,Nuts inc. Peanut Butter,7.96,14.09,Non-Animal
Ghana,Pork,1.36,4.81,Animal
Ghana,Poultry,8.63,9.27,Animal
Ghana,Beef,1.09,33.64,Animal
Ghana,Lamb & Goat,1.74,60.93,Animal
Ghana,Fish,26.05,41.59,Animal
Ghana,Eggs,1.21,1.11,Animal
Ghana,Milk - inc. cheese,9.08,12.93,Non-Animal
Ghana,Wheat and Wheat Products,14.45,2.76,Non-Animal
Ghana,Rice,32.03,40.99,Non-Animal
Ghana,Soybeans,0.01,0,Non-Animal
Ghana,Nuts inc. Peanut Butter,5.56,9.84,Non-Animal
Greece,Pork,28.31,100.2,Animal
Greece,Poultry,15.74,16.91,Animal
Greece,Beef,16.1,496.81,Animal
Greece,Lamb & Goat,12.47,436.7,Animal
Greece,Fish,14.42,23.02,Animal
Greece,Eggs,10.13,9.31,Animal
Greece,Milk - inc. cheese,255.26,363.59,Non-Animal
Greece,Wheat and Wheat Products,124.04,23.65,Non-Animal
Greece,Rice,6.64,8.5,Non-Animal
Greece,Soybeans,0.02,0.01,Non-Animal
Greece,Nuts inc. Peanut Butter,10.5,18.59,Non-Animal
Grenada,Pork,11.52,40.78,Animal
Grenada,Poultry,43.51,46.74,Animal
Grenada,Beef,3.46,106.77,Animal
Grenada,Lamb & Goat,1.25,43.77,Animal
Grenada,Fish,27.95,44.63,Animal
Grenada,Eggs,10.34,9.5,Animal
Grenada,Milk - inc. cheese,86.88,123.75,Non-Animal
Grenada,Wheat and Wheat Products,59.59,11.36,Non-Animal
Grenada,Rice,9.56,12.23,Non-Animal
Grenada,Soybeans,0.01,0,Non-Animal
Grenada,Nuts inc. Peanut Butter,0.18,0.32,Non-Animal
Guatemala,Pork,4.85,17.17,Animal
Guatemala,Poultry,16.45,17.67,Animal
Guatemala,Beef,5.6,172.8,Animal
Guatemala,Lamb & Goat,0.23,8.05,Animal
Guatemala,Fish,1.08,1.72,Animal
Guatemala,Eggs,14.61,13.42,Animal
Guatemala,Milk - inc. cheese,46.6,66.38,Non-Animal
Guatemala,Wheat and Wheat Products,35.9,6.85,Non-Animal
Guatemala,Rice,5.66,7.24,Non-Animal
Guatemala,Soybeans,0.32,0.14,Non-Animal
Guatemala,Nuts inc. Peanut Butter,2,3.54,Non-Animal
Guinea,Pork,0.16,0.57,Animal
Guinea,Poultry,1.83,1.97,Animal
Guinea,Beef,6.26,193.17,Animal
Guinea,Lamb & Goat,1.6,56.03,Animal
Guinea,Fish,9.18,14.66,Animal
Guinea,Eggs,1.95,1.79,Animal
Guinea,Milk - inc. cheese,20.62,29.37,Non-Animal
Guinea,Wheat and Wheat Products,18.55,3.54,Non-Animal
Guinea,Rice,97.12,124.28,Non-Animal
Guinea,Soybeans,0,0,Non-Animal
Guinea,Nuts inc. Peanut Butter,4.14,7.33,Non-Animal
Honduras,Pork,6.48,22.94,Animal
Honduras,Poultry,20.29,21.8,Animal
Honduras,Beef,7.19,221.87,Animal
Honduras,Lamb & Goat,0.04,1.4,Animal
Honduras,Fish,2.7,4.31,Animal
Honduras,Eggs,5.19,4.77,Animal
Honduras,Milk - inc. cheese,91.33,130.09,Non-Animal
Honduras,Wheat and Wheat Products,37.36,7.12,Non-Animal
Honduras,Rice,14.42,18.45,Non-Animal
Honduras,Soybeans,0.01,0,Non-Animal
Honduras,Nuts inc. Peanut Butter,0.75,1.33,Non-Animal
Hong Kong SAR. China,Pork,67.11,237.54,Animal
Hong Kong SAR. China,Poultry,54.86,58.93,Animal
Hong Kong SAR. China,Beef,25.82,796.75,Animal
Hong Kong SAR. China,Lamb & Goat,2.22,77.74,Animal
Hong Kong SAR. China,Fish,42.44,67.76,Animal
Hong Kong SAR. China,Eggs,14.5,13.32,Animal
Hong Kong SAR. China,Milk - inc. cheese,105.85,150.77,Non-Animal
Hong Kong SAR. China,Wheat and Wheat Products,53.14,10.13,Non-Animal
Hong Kong SAR. China,Rice,43.48,55.64,Non-Animal
Hong Kong SAR. China,Soybeans,2.79,1.26,Non-Animal
Hong Kong SAR. China,Nuts inc. Peanut Butter,13.81,24.44,Non-Animal
Hungary,Pork,34.93,123.63,Animal
Hungary,Poultry,23.78,25.54,Animal
Hungary,Beef,4.96,153.06,Animal
Hungary,Lamb & Goat,0.11,3.85,Animal
Hungary,Fish,4.93,7.87,Animal
Hungary,Eggs,12.45,11.44,Animal
Hungary,Milk - inc. cheese,159.05,226.55,Non-Animal
Hungary,Wheat and Wheat Products,109.98,20.97,Non-Animal
Hungary,Rice,2.15,2.75,Non-Animal
Hungary,Soybeans,0.01,0,Non-Animal
Hungary,Nuts inc. Peanut Butter,0.64,1.13,Non-Animal
Iceland,Pork,21.69,76.77,Animal
Iceland,Poultry,26.87,28.86,Animal
Iceland,Beef,13.36,412.26,Animal
Iceland,Lamb & Goat,21.12,739.62,Animal
Iceland,Fish,74.41,118.81,Animal
Iceland,Eggs,8.24,7.57,Animal
Iceland,Milk - inc. cheese,225.82,321.66,Non-Animal
Iceland,Wheat and Wheat Products,72.92,13.91,Non-Animal
Iceland,Rice,3.89,4.98,Non-Animal
Iceland,Soybeans,0.11,0.05,Non-Animal
Iceland,Nuts inc. Peanut Butter,3.88,6.87,Non-Animal
India,Pork,0.28,0.99,Animal
India,Poultry,1.88,2.02,Animal
India,Beef,0.81,24.99,Animal
India,Lamb & Goat,0.58,20.31,Animal
India,Fish,4.71,7.52,Animal
India,Eggs,2.58,2.37,Animal
India,Milk - inc. cheese,84.5,120.36,Non-Animal
India,Wheat and Wheat Products,60.56,11.55,Non-Animal
India,Rice,69.49,88.93,Non-Animal
India,Soybeans,0.39,0.18,Non-Animal
India,Nuts inc. Peanut Butter,1.92,3.4,Non-Animal
Indonesia,Pork,2.98,10.55,Animal
Indonesia,Poultry,7.5,8.06,Animal
Indonesia,Beef,2.59,79.92,Animal
Indonesia,Lamb & Goat,0.46,16.11,Animal
Indonesia,Fish,25.65,40.95,Animal
Indonesia,Eggs,4.88,4.48,Animal
Indonesia,Milk - inc. cheese,14.82,21.11,Non-Animal
Indonesia,Wheat and Wheat Products,25.45,4.85,Non-Animal
Indonesia,Rice,134.62,172.27,Non-Animal
Indonesia,Soybeans,1.12,0.5,Non-Animal
Indonesia,Nuts inc. Peanut Butter,4.92,8.71,Non-Animal
Iran,Pork,0,0,Animal
Iran,Poultry,25.38,27.26,Animal
Iran,Beef,3.58,110.47,Animal
Iran,Lamb & Goat,3.69,129.22,Animal
Iran,Fish,9.8,15.65,Animal
Iran,Eggs,7.7,7.07,Animal
Iran,Milk - inc. cheese,46.69,66.51,Non-Animal
Iran,Wheat and Wheat Products,153.31,29.24,Non-Animal
Iran,Rice,29.95,38.33,Non-Animal
Iran,Soybeans,0,0,Non-Animal
Iran,Nuts inc. Peanut Butter,12.16,21.52,Non-Animal
Ireland,Pork,32.4,114.68,Animal
Ireland,Poultry,26.26,28.21,Animal
Ireland,Beef,22.35,689.67,Animal
Ireland,Lamb & Goat,4.1,143.58,Animal
Ireland,Fish,17.39,27.77,Animal
Ireland,Eggs,8.96,8.23,Animal
Ireland,Milk - inc. cheese,291.86,415.73,Non-Animal
Ireland,Wheat and Wheat Products,107.98,20.59,Non-Animal
Ireland,Rice,3,3.84,Non-Animal
Ireland,Soybeans,0.25,0.11,Non-Animal
Ireland,Nuts inc. Peanut Butter,4.1,7.26,Non-Animal
Israel,Pork,1.99,7.04,Animal
Israel,Poultry,62.5,67.14,Animal
Israel,Beef,28.78,888.09,Animal
Israel,Lamb & Goat,1.87,65.49,Animal
Israel,Fish,22.18,35.41,Animal
Israel,Eggs,11.35,10.43,Animal
Israel,Milk - inc. cheese,193.6,275.76,Non-Animal
Israel,Wheat and Wheat Products,110.86,21.14,Non-Animal
Israel,Rice,16.81,21.51,Non-Animal
Israel,Soybeans,0.1,0.05,Non-Animal
Israel,Nuts inc. Peanut Butter,7.71,13.65,Non-Animal
Italy,Pork,40.28,142.57,Animal
Italy,Poultry,18.61,19.99,Animal
Italy,Beef,18.6,573.96,Animal
Italy,Lamb & Goat,0.92,32.22,Animal
Italy,Fish,15.6,24.91,Animal
Italy,Eggs,13.34,12.25,Animal
Italy,Milk - inc. cheese,246.88,351.66,Non-Animal
Italy,Wheat and Wheat Products,146.37,27.91,Non-Animal
Italy,Rice,5.74,7.35,Non-Animal
Italy,Soybeans,0.01,0,Non-Animal
Italy,Nuts inc. Peanut Butter,7.63,13.51,Non-Animal
Jamaica,Pork,3.99,14.12,Animal
Jamaica,Poultry,52.51,56.41,Animal
Jamaica,Beef,3.97,122.51,Animal
Jamaica,Lamb & Goat,1.26,44.13,Animal
Jamaica,Fish,21.95,35.05,Animal
Jamaica,Eggs,2.27,2.09,Animal
Jamaica,Milk - inc. cheese,91.13,129.81,Non-Animal
Jamaica,Wheat and Wheat Products,70.67,13.48,Non-Animal
Jamaica,Rice,23.45,30.01,Non-Animal
Jamaica,Soybeans,0,0,Non-Animal
Jamaica,Nuts inc. Peanut Butter,1.82,3.22,Non-Animal
Japan,Pork,20.62,72.98,Animal
Japan,Poultry,19.42,20.86,Animal
Japan,Beef,9.15,282.35,Animal
Japan,Lamb & Goat,0.14,4.9,Animal
Japan,Fish,31.1,49.66,Animal
Japan,Eggs,19.15,17.59,Animal
Japan,Milk - inc. cheese,72.06,102.64,Non-Animal
Japan,Wheat and Wheat Products,45.04,8.59,Non-Animal
Japan,Rice,59.85,76.59,Non-Animal
Japan,Soybeans,7.34,3.3,Non-Animal
Japan,Nuts inc. Peanut Butter,2.59,4.58,Non-Animal
Jordan,Pork,0.02,0.07,Animal
Jordan,Poultry,33.39,35.87,Animal
Jordan,Beef,5.61,173.11,Animal
Jordan,Lamb & Goat,5.68,198.91,Animal
Jordan,Fish,5.13,8.19,Animal
Jordan,Eggs,3.92,3.6,Animal
Jordan,Milk - inc. cheese,77.68,110.65,Non-Animal
Jordan,Wheat and Wheat Products,136.74,26.08,Non-Animal
Jordan,Rice,19.67,25.17,Non-Animal
Jordan,Soybeans,0.02,0.01,Non-Animal
Jordan,Nuts inc. Peanut Butter,3.56,6.3,Non-Animal
Kazakhstan,Pork,10.36,36.67,Animal
Kazakhstan,Poultry,18.38,19.74,Animal
Kazakhstan,Beef,23.38,721.46,Animal
Kazakhstan,Lamb & Goat,9.56,334.79,Animal
Kazakhstan,Fish,5.21,8.32,Animal
Kazakhstan,Eggs,8.29,7.62,Animal
Kazakhstan,Milk - inc. cheese,288.12,410.4,Non-Animal
Kazakhstan,Wheat and Wheat Products,92.31,17.6,Non-Animal
Kazakhstan,Rice,7.32,9.37,Non-Animal
Kazakhstan,Soybeans,0.03,0.01,Non-Animal
Kazakhstan,Nuts inc. Peanut Butter,5.14,9.1,Non-Animal
Kenya,Pork,0.29,1.03,Animal
Kenya,Poultry,0.47,0.5,Animal
Kenya,Beef,9.54,294.38,Animal
Kenya,Lamb & Goat,1.86,65.14,Animal
Kenya,Fish,4.27,6.82,Animal
Kenya,Eggs,1.84,1.69,Animal
Kenya,Milk - inc. cheese,94.86,135.12,Non-Animal
Kenya,Wheat and Wheat Products,34.65,6.61,Non-Animal
Kenya,Rice,12.94,16.56,Non-Animal
Kenya,Soybeans,0.2,0.09,Non-Animal
Kenya,Nuts inc. Peanut Butter,1.64,2.9,Non-Animal
Kuwait,Pork,0,0,Animal
Kuwait,Poultry,53.61,57.59,Animal
Kuwait,Beef,13.03,402.08,Animal
Kuwait,Lamb & Goat,15.61,546.66,Animal
Kuwait,Fish,11.99,19.14,Animal
Kuwait,Eggs,12.6,11.57,Animal
Kuwait,Milk - inc. cheese,157.66,224.57,Non-Animal
Kuwait,Wheat and Wheat Products,96.76,18.45,Non-Animal
Kuwait,Rice,43.83,56.09,Non-Animal
Kuwait,Soybeans,0.06,0.03,Non-Animal
Kuwait,Nuts inc. Peanut Butter,5.23,9.26,Non-Animal
Latvia,Pork,34.96,123.74,Animal
Latvia,Poultry,20.53,22.05,Animal
Latvia,Beef,5.11,157.68,Animal
Latvia,Lamb & Goat,0.34,11.91,Animal
Latvia,Fish,21.3,34.01,Animal
Latvia,Eggs,14.03,12.89,Animal
Latvia,Milk - inc. cheese,174.11,248,Non-Animal
Latvia,Wheat and Wheat Products,72.13,13.76,Non-Animal
Latvia,Rice,2.21,2.83,Non-Animal
Latvia,Soybeans,0.04,0.02,Non-Animal
Latvia,Nuts inc. Peanut Butter,3.78,6.69,Non-Animal
Liberia,Pork,4.01,14.19,Animal
Liberia,Poultry,8.91,9.57,Animal
Liberia,Beef,0.78,24.07,Animal
Liberia,Lamb & Goat,0.48,16.81,Animal
Liberia,Fish,4.13,6.59,Animal
Liberia,Eggs,2.05,1.88,Animal
Liberia,Milk - inc. cheese,3.04,4.33,Non-Animal
Liberia,Wheat and Wheat Products,10.95,2.09,Non-Animal
Liberia,Rice,94.75,121.25,Non-Animal
Liberia,Soybeans,0.63,0.28,Non-Animal
Liberia,Nuts inc. Peanut Butter,1.31,2.32,Non-Animal
Lithuania,Pork,45.67,161.65,Animal
Lithuania,Poultry,26.84,28.83,Animal
Lithuania,Beef,4.49,138.55,Animal
Lithuania,Lamb & Goat,0.24,8.4,Animal
Lithuania,Fish,42.39,67.68,Animal
Lithuania,Eggs,13.11,12.04,Animal
Lithuania,Milk - inc. cheese,295.46,420.85,Non-Animal
Lithuania,Wheat and Wheat Products,121.59,23.19,Non-Animal
Lithuania,Rice,3.07,3.93,Non-Animal
Lithuania,Soybeans,0.02,0.01,Non-Animal
Lithuania,Nuts inc. Peanut Butter,2.13,3.77,Non-Animal
Luxembourg,Pork,43.58,154.25,Animal
Luxembourg,Poultry,21.37,22.96,Animal
Luxembourg,Beef,29.88,922.03,Animal
Luxembourg,Lamb & Goat,1.67,58.48,Animal
Luxembourg,Fish,23.09,36.87,Animal
Luxembourg,Eggs,14.64,13.45,Animal
Luxembourg,Milk - inc. cheese,255.3,363.65,Non-Animal
Luxembourg,Wheat and Wheat Products,103.2,19.68,Non-Animal
Luxembourg,Rice,4.2,5.37,Non-Animal
Luxembourg,Soybeans,0.04,0.02,Non-Animal
Luxembourg,Nuts inc. Peanut Butter,0.93,1.65,Non-Animal
Macedonia,Pork,10.35,36.63,Animal
Macedonia,Poultry,18.77,20.16,Animal
Macedonia,Beef,7.69,237.3,Animal
Macedonia,Lamb & Goat,0.94,32.92,Animal
Macedonia,Fish,5.47,8.73,Animal
Macedonia,Eggs,6.38,5.86,Animal
Macedonia,Milk - inc. cheese,157.93,224.96,Non-Animal
Macedonia,Wheat and Wheat Products,104.8,19.99,Non-Animal
Macedonia,Rice,2.81,3.6,Non-Animal
Macedonia,Soybeans,0.46,0.21,Non-Animal
Macedonia,Nuts inc. Peanut Butter,5.87,10.39,Non-Animal
Madagascar,Pork,2.56,9.06,Animal
Madagascar,Poultry,3.14,3.37,Animal
Madagascar,Beef,7.51,231.74,Animal
Madagascar,Lamb & Goat,0.57,19.96,Animal
Madagascar,Fish,4.41,7.04,Animal
Madagascar,Eggs,0.71,0.65,Animal
Madagascar,Milk - inc. cheese,24.84,35.38,Non-Animal
Madagascar,Wheat and Wheat Products,9.01,1.72,Non-Animal
Madagascar,Rice,102.53,131.21,Non-Animal
Madagascar,Soybeans,0,0,Non-Animal
Madagascar,Nuts inc. Peanut Butter,0.35,0.62,Non-Animal
Malawi,Pork,5.45,19.29,Animal
Malawi,Poultry,1.38,1.48,Animal
Malawi,Beef,2.35,72.52,Animal
Malawi,Lamb & Goat,2.07,72.49,Animal
Malawi,Fish,7.33,11.7,Animal
Malawi,Eggs,1.08,0.99,Animal
Malawi,Milk - inc. cheese,7.98,11.37,Non-Animal
Malawi,Wheat and Wheat Products,11.77,2.24,Non-Animal
Malawi,Rice,4.75,6.08,Non-Animal
Malawi,Soybeans,1.76,0.79,Non-Animal
Malawi,Nuts inc. Peanut Butter,5.08,8.99,Non-Animal
Malaysia,Pork,7.76,27.47,Animal
Malaysia,Poultry,41.01,44.05,Animal
Malaysia,Beef,6.52,201.19,Animal
Malaysia,Lamb & Goat,0.94,32.92,Animal
Malaysia,Fish,49.43,78.92,Animal
Malaysia,Eggs,16.57,15.22,Animal
Malaysia,Milk - inc. cheese,25.28,36.01,Non-Animal
Malaysia,Wheat and Wheat Products,51.04,9.73,Non-Animal
Malaysia,Rice,81.25,103.98,Non-Animal
Malaysia,Soybeans,0.04,0.02,Non-Animal
Malaysia,Nuts inc. Peanut Butter,2.9,5.13,Non-Animal
Maldives,Pork,1.22,4.32,Animal
Maldives,Poultry,18.47,19.84,Animal
Maldives,Beef,9.44,291.3,Animal
Maldives,Lamb & Goat,0.7,24.51,Animal
Maldives,Fish,179.71,286.94,Animal
Maldives,Eggs,10.79,9.91,Animal
Maldives,Milk - inc. cheese,111.47,158.78,Non-Animal
Maldives,Wheat and Wheat Products,77.77,14.83,Non-Animal
Maldives,Rice,50.73,64.92,Non-Animal
Maldives,Soybeans,0.2,0.09,Non-Animal
Maldives,Nuts inc. Peanut Butter,15.83,28.02,Non-Animal
Malta,Pork,34.24,121.19,Animal
Malta,Poultry,26.4,28.36,Animal
Malta,Beef,19.22,593.09,Animal
Malta,Lamb & Goat,1.19,41.67,Animal
Malta,Fish,24.58,39.25,Animal
Malta,Eggs,11.64,10.69,Animal
Malta,Milk - inc. cheese,190.06,270.72,Non-Animal
Malta,Wheat and Wheat Products,139.58,26.62,Non-Animal
Malta,Rice,4.96,6.35,Non-Animal
Malta,Soybeans,0.05,0.02,Non-Animal
Malta,Nuts inc. Peanut Butter,5.62,9.95,Non-Animal
Mauritius,Pork,4.08,14.44,Animal
Mauritius,Poultry,38.51,41.37,Animal
Mauritius,Beef,5.99,184.84,Animal
Mauritius,Lamb & Goat,4.08,142.88,Animal
Mauritius,Fish,19.66,31.39,Animal
Mauritius,Eggs,6.32,5.81,Animal
Mauritius,Milk - inc. cheese,117.27,167.04,Non-Animal
Mauritius,Wheat and Wheat Products,114.02,21.74,Non-Animal
Mauritius,Rice,45.56,58.3,Non-Animal
Mauritius,Soybeans,0.3,0.14,Non-Animal
Mauritius,Nuts inc. Peanut Butter,2.33,4.12,Non-Animal
Mexico,Pork,15.23,53.91,Animal
Mexico,Poultry,30.12,32.35,Animal
Mexico,Beef,15.33,473.05,Animal
Mexico,Lamb & Goat,0.89,31.17,Animal
Mexico,Fish,7.56,12.07,Animal
Mexico,Eggs,18.34,16.85,Animal
Mexico,Milk - inc. cheese,111.87,159.35,Non-Animal
Mexico,Wheat and Wheat Products,35.21,6.71,Non-Animal
Mexico,Rice,5.64,7.22,Non-Animal
Mexico,Soybeans,0.02,0.01,Non-Animal
Mexico,Nuts inc. Peanut Butter,2.51,4.44,Non-Animal
Morocco,Pork,0.01,0.04,Animal
Morocco,Poultry,20.77,22.31,Animal
Morocco,Beef,8.04,248.1,Animal
Morocco,Lamb & Goat,4.36,152.69,Animal
Morocco,Fish,17.44,27.85,Animal
Morocco,Eggs,6.68,6.14,Animal
Morocco,Milk - inc. cheese,54.68,77.89,Non-Animal
Morocco,Wheat and Wheat Products,179.7,34.27,Non-Animal
Morocco,Rice,1.1,1.41,Non-Animal
Morocco,Soybeans,0,0,Non-Animal
Morocco,Nuts inc. Peanut Butter,3.23,5.72,Non-Animal
Mozambique,Pork,5.13,18.16,Animal
Mozambique,Poultry,1.41,1.51,Animal
Mozambique,Beef,1.04,32.09,Animal
Mozambique,Lamb & Goat,0.9,31.52,Animal
Mozambique,Fish,7.74,12.36,Animal
Mozambique,Eggs,1.7,1.56,Animal
Mozambique,Milk - inc. cheese,4.79,6.82,Non-Animal
Mozambique,Wheat and Wheat Products,14.65,2.79,Non-Animal
Mozambique,Rice,23.41,29.96,Non-Animal
Mozambique,Soybeans,0.03,0.01,Non-Animal
Mozambique,Nuts inc. Peanut Butter,2.61,4.62,Non-Animal
Myanmar,Pork,11.31,40.03,Animal
Myanmar,Poultry,21.87,23.49,Animal
Myanmar,Beef,4.94,152.44,Animal
Myanmar,Lamb & Goat,0.89,31.17,Animal
Myanmar,Fish,54.26,86.64,Animal
Myanmar,Eggs,6.45,5.92,Animal
Myanmar,Milk - inc. cheese,31.48,44.84,Non-Animal
Myanmar,Wheat and Wheat Products,6.22,1.19,Non-Animal
Myanmar,Rice,132.8,169.94,Non-Animal
Myanmar,Soybeans,0.38,0.17,Non-Animal
Myanmar,Nuts inc. Peanut Butter,4.5,7.97,Non-Animal
Namibia,Pork,4.21,14.9,Animal
Namibia,Poultry,12.19,13.09,Animal
Namibia,Beef,3.75,115.72,Animal
Namibia,Lamb & Goat,2.27,79.5,Animal
Namibia,Fish,10.7,17.08,Animal
Namibia,Eggs,1.63,1.5,Animal
Namibia,Milk - inc. cheese,73.05,104.05,Non-Animal
Namibia,Wheat and Wheat Products,36.26,6.91,Non-Animal
Namibia,Rice,6.31,8.07,Non-Animal
Namibia,Soybeans,0.07,0.03,Non-Animal
Namibia,Nuts inc. Peanut Butter,0.71,1.26,Non-Animal
Nepal,Pork,0.67,2.37,Animal
Nepal,Poultry,1.56,1.68,Animal
Nepal,Beef,7.89,243.47,Animal
Nepal,Lamb & Goat,2.1,73.54,Animal
Nepal,Fish,2.17,3.46,Animal
Nepal,Eggs,1.42,1.3,Animal
Nepal,Milk - inc. cheese,52.1,74.21,Non-Animal
Nepal,Wheat and Wheat Products,50.46,9.62,Non-Animal
Nepal,Rice,87.75,112.29,Non-Animal
Nepal,Soybeans,0.01,0,Non-Animal
Nepal,Nuts inc. Peanut Butter,2.42,4.28,Non-Animal
Netherlands,Pork,36.36,128.7,Animal
Netherlands,Poultry,23.9,25.67,Animal
Netherlands,Beef,17.67,545.26,Animal
Netherlands,Lamb & Goat,0.94,32.92,Animal
Netherlands,Fish,18.64,29.76,Animal
Netherlands,Eggs,14.03,12.89,Animal
Netherlands,Milk - inc. cheese,341.47,486.39,Non-Animal
Netherlands,Wheat and Wheat Products,70.17,13.38,Non-Animal
Netherlands,Rice,2.93,3.75,Non-Animal
Netherlands,Soybeans,0.12,0.05,Non-Animal
Netherlands,Nuts inc. Peanut Butter,7.94,14.05,Non-Animal
New Caledonia,Pork,19.9,70.44,Animal
New Caledonia,Poultry,44.36,47.65,Animal
New Caledonia,Beef,16.07,495.89,Animal
New Caledonia,Lamb & Goat,1.95,68.29,Animal
New Caledonia,Fish,19.38,30.94,Animal
New Caledonia,Eggs,8.85,8.13,Animal
New Caledonia,Milk - inc. cheese,108,153.84,Non-Animal
New Caledonia,Wheat and Wheat Products,81.75,15.59,Non-Animal
New Caledonia,Rice,17.47,22.36,Non-Animal
New Caledonia,Soybeans,0.55,0.25,Non-Animal
New Caledonia,Nuts inc. Peanut Butter,2.96,5.24,Non-Animal
New Zealand,Pork,22.29,78.9,Animal
New Zealand,Poultry,34.98,37.58,Animal
New Zealand,Beef,22.49,693.99,Animal
New Zealand,Lamb & Goat,18.91,662.23,Animal
New Zealand,Fish,20.36,32.51,Animal
New Zealand,Eggs,9.91,9.1,Animal
New Zealand,Milk - inc. cheese,137.25,195.5,Non-Animal
New Zealand,Wheat and Wheat Products,76.91,14.67,Non-Animal
New Zealand,Rice,9.16,11.72,Non-Animal
New Zealand,Soybeans,0.44,0.2,Non-Animal
New Zealand,Nuts inc. Peanut Butter,8.22,14.55,Non-Animal
Nicaragua,Pork,3.38,11.96,Animal
Nicaragua,Poultry,21.31,22.89,Animal
Nicaragua,Beef,4.73,145.96,Animal
Nicaragua,Lamb & Goat,0.01,0.35,Animal
Nicaragua,Fish,3.59,5.73,Animal
Nicaragua,Eggs,4.9,4.5,Animal
Nicaragua,Milk - inc. cheese,85.16,121.3,Non-Animal
Nicaragua,Wheat and Wheat Products,28.17,5.37,Non-Animal
Nicaragua,Rice,43.33,55.45,Non-Animal
Nicaragua,Soybeans,0.01,0,Non-Animal
Nicaragua,Nuts inc. Peanut Butter,2.36,4.18,Non-Animal
Niger,Pork,0.09,0.32,Animal
Niger,Poultry,1.08,1.16,Animal
Niger,Beef,8.97,276.8,Animal
Niger,Lamb & Goat,4.17,146.03,Animal
Niger,Fish,2.7,4.31,Animal
Niger,Eggs,0.3,0.28,Animal
Niger,Milk - inc. cheese,58.92,83.93,Non-Animal
Niger,Wheat and Wheat Products,4.79,0.91,Non-Animal
Niger,Rice,13.17,16.85,Non-Animal
Niger,Soybeans,0,0,Non-Animal
